fixture,category,condition,file_name,expected_decision,observed_decision,expectation_met,expected_reason_code,reason_code,container,implementation_level,declared_edition,required_edition,declared_conformance_class,required_conformance_class,features,data_section_count,entity_count,anchor_count,external_reference_count,signature_count,archive_entry_count,diagnostic_line,diagnostic_column,steputils_outcome,ifcopenshell_parser_outcome,schema_conformance,source_sha256
edition3_signature,signature,edition_3_base64_signature,edition3_signature.step,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,clear_text,4;1,3,3,1,1,signature_section,1,1,0,0,1,0,,,accept,reject,not_evaluated,c74b66359e5f0abe39bbab62718cf3c6e7c5dbce3c3bd2a330bb8855df8defe2
edition3_constant,constant,edition_3_constant_value_reference,edition3_constant.step,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,clear_text,4;3,3,3,3,3,constant_reference,1,1,0,0,0,0,,,reject,reject,not_evaluated,571774c0a2d160be6704936e8b31dab07f119098942fb29d26dd5ab20d12b891
edition3_value_reference,value_instance,edition_3_external_value_instance,edition3_value_reference.step,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,clear_text,4;3,3,3,3,3,reference_section|value_instance_reference,1,1,0,1,0,0,,,reject,reject,not_evaluated,f1b47616b949099cfe6890fd7af504872f2c609332ed36808f4e7dfea896a968
complex_entity,entity_mapping,subsuper_record,complex_entity.step,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,clear_text,2;1,1,1,1,1,,1,1,0,0,0,0,,,accept,accept,not_evaluated,5a1fcfa2fd0f9a4edf0e648493fac98a93bd50c8c6cdc659a34805cd7809bef3
user_defined_keyword,keyword,leading_exclamation_user_keyword,user_defined_keyword.step,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,clear_text,2;1,1,1,1,1,,1,1,0,0,0,0,,,accept,reject,not_evaluated,f1f813a38e02a2e61c18daac25f75188ae0d3fb388c2ed26aa9e4ade78ab984b
edition3_no_data,edition,edition_3_optional_data_section,edition3_no_data.step,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,clear_text,4;1,3,3,1,1,optional_data_section,0,0,0,0,0,0,,,accept,reject,not_evaluated,0d2116da5dbef877685cbd0f78cee32083c47a4b0e9a5f57abf8894418a83039
invalid_real_leading_dot,number,real_without_leading_digit,invalid_real_leading_dot.step,reject,reject,1,invalid_real,invalid_real,clear_text,,0,0,0,0,,0,0,0,0,0,0,8,10,reject,reject,not_evaluated,e7bb867f3b319c329f0c36ae674cd037a5a72fb36b85cb2c930471be0017c193
invalid_real_exponent,number,real_exponent_without_decimal_point,invalid_real_exponent.step,reject,reject,1,invalid_real,invalid_real,clear_text,,0,0,0,0,,0,0,0,0,0,0,8,10,accept,reject,not_evaluated,2c855832ff13c61cab3acb976f7e5624fd9b5050d32d39faed133f5d83d83ea7
lowercase_keyword,keyword,record_keyword_is_not_normalized,lowercase_keyword.step,reject,reject,1,invalid_keyword,invalid_keyword,clear_text,,0,0,0,0,,0,0,0,0,0,0,8,4,reject,reject,not_evaluated,1f1e51122410b9bc74ef007cca2fc0924df40308e5fdc306d671e51348946d2a
unterminated_comment,comment,comment_reaches_end_of_file,unterminated_comment.step,reject,reject,1,unterminated_comment,unterminated_comment,clear_text,,0,0,0,0,,0,0,0,0,0,0,9,1,reject,reject,not_evaluated,35a6ad1f5ebae331cb1ce11082a598863a16107b41999a91f12da9184d85af85
invalid_binary,binary,binary_contains_non_hex_digit,invalid_binary.step,reject,reject,1,invalid_binary,invalid_binary,clear_text,,0,0,0,0,,0,0,0,0,0,0,8,12,reject,reject,not_evaluated,ca63497a8cdd339a7c9d5e5c1e97a9f64dc464bc37279ff7a12fd89e7dbedd6e
invalid_string_control,character_encoding,unknown_reverse_solidus_directive,invalid_string_control.step,reject,reject,1,invalid_string_control_directive,invalid_string_control_directive,clear_text,,0,0,0,0,,0,0,0,0,0,0,8,11,accept,reject,not_evaluated,1c629b5ae4a03038cff9e66da827e1b7f182e2999a81fb531435d3fdfab81b00
edition1_multiple_data,edition,edition_2_feature_declared_as_edition_1,edition1_multiple_data.step,reject,reject,1,edition_feature_mismatch,edition_feature_mismatch,clear_text,2;1,1,2,1,1,multiple_data_sections,2,2,0,0,0,0,,,reject,reject,not_evaluated,f245e2623e00dd9e7910afc75b10f5ae3cfe77bb7b5b3a25b479daf45d9531c8
edition2_direct_utf8,character_encoding,edition_3_utf8_declared_as_edition_2,edition2_direct_utf8.step,reject,reject,1,edition_feature_mismatch,edition_feature_mismatch,clear_text,3;1,2,3,1,1,direct_utf8,1,1,0,0,0,0,,,reject,reject,not_evaluated,af9d70ad96d28f118a39f848ff176484efb2876817298d419f91815af33096c6
edition2_anchor,anchor,edition_3_anchor_declared_as_edition_2,edition2_anchor.step,reject,reject,1,edition_feature_mismatch,edition_feature_mismatch,clear_text,3;1,2,3,1,1,anchor_section,1,1,1,0,0,0,,,reject,reject,not_evaluated,ed2558508cdc6c92026135eb6f509915cba8a37bb6620ae9994c0c5b2e8b6d83
reference_class_1,external_reference,reference_requires_class_2,reference_class_1.step,reject,reject,1,conformance_class_mismatch,conformance_class_mismatch,clear_text,4;1,3,3,1,2,reference_section,1,1,0,1,0,0,,,reject,reject,not_evaluated,da66bd253b6a7af44d9bd9b0c73a9493d05a55664e2bc1fbe220d77a3c9bc45f
constant_class_2,constant,constant_requires_class_3,constant_class_2.step,reject,reject,1,conformance_class_mismatch,conformance_class_mismatch,clear_text,4;2,3,3,2,3,constant_reference,1,1,0,0,0,0,,,reject,reject,not_evaluated,2e91a62fcdc74b4e344b320fc203eecdc474eaf6ad7fb1f5e2b98a9245c714ed
invalid_signature,signature,signature_is_not_base64,invalid_signature.step,reject,reject,1,invalid_signature_base64,invalid_signature_base64,clear_text,,0,0,0,0,,0,0,0,0,0,0,12,11,reject,reject,not_evaluated,534ffb68c9c3f772b8b75a0c86fae5c0d4f86eb8783b04f70e56ee2964026b1b
zero_occurrence,occurrence_name,all_zero_occurrence_name,zero_occurrence.step,reject,reject,1,invalid_occurrence_name,invalid_occurrence_name,clear_text,,0,0,0,0,,0,0,0,0,0,0,8,1,accept,reject,not_evaluated,02b3365d33dd2ffccee581c48e368fa36acbac634a50805db67036de705047f1
edition2_no_data,edition,optional_data_declared_as_edition_2,edition2_no_data.step,reject,reject,1,edition_feature_mismatch,edition_feature_mismatch,clear_text,3;1,2,3,1,1,optional_data_section,0,0,0,0,0,0,,,accept,reject,not_evaluated,bce2d33d001a6ab9de651e8a562b361258d7b3cd453533fb74121f432a968c26
invalid_utf8,character_encoding,invalid_utf8_octet_after_exchange,invalid_utf8.step,reject,reject,1,invalid_utf8,invalid_utf8,clear_text,,0,0,0,0,,0,0,0,0,0,0,,,reject,reject,not_evaluated,4cbbef520cea07575d6bf45280218cd0b596f18e47abd2629553c9911ccb2d5c
zip_root,archive,bounded_zip_with_required_root,zip_root.stpz,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,zip,4;1,3,3,1,1,zip_transport,1,1,0,0,0,1,,,reject,reject,not_evaluated,45180aa428f2bc9e1cb71092a11f0ff68ddef6fbbe454d138fceba1d836b3e47
zip_missing_root,archive,archive_has_no_required_root,zip_missing_root.stpz,reject,reject,1,archive_root_missing,archive_root_missing,zip,,0,0,0,0,,0,0,0,0,0,0,,,reject,reject,not_evaluated,24779543746a17257b214cd5634f0715cec2a2800facd332f8f6b4011e529499
zip_unsafe_path,archive,archive_contains_parent_path,zip_unsafe_path.stpz,reject,reject,1,archive_unsafe_path,archive_unsafe_path,zip,,0,0,0,0,,0,0,0,0,0,0,,,reject,reject,not_evaluated,e02c03e78a6e919b30711ab7ff2e2e103d4d4c23ccedf625890211e783602830
