fixture,category,condition,file_name,expected_decision,observed_decision,expectation_met,expected_reason_code,reason_code,features,schema_count,interface_count,type_count,entity_count,algorithm_count,constant_count,explicit_attribute_count,derived_attribute_count,inverse_attribute_count,where_rule_count,unique_rule_count,token_count,trivia_token_count,source_bytes,exact_reconstruction,diagnostic_line,diagnostic_column,symbol_resolution,type_checking,expression_validation,rule_execution,source_sha256
inverse_attribute,entity,inverse_set_and_for_attribute,inverse_attribute.exp,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,attribute_explicit|attribute_inverse|entity,1,0,0,2,0,0,1,0,1,0,0,33,21,151,1,,,not_attempted,not_attempted,envelope_only,not_attempted,abfefc0d2538335d264d272c86502b51c66ebe8eda9239b8059b867e37674f95
unique_where,entity,unique_and_where_constraints,unique_where.exp,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,attribute_explicit|entity|unique_rule|where_rule,1,0,0,1,0,0,1,0,0,1,1,29,19,142,1,,,not_attempted,not_attempted,envelope_only,not_attempted,3e5fcde92a793bc8d28220ee46e4d35b67390f9dd094ff0ed891d6bf3a5bba40
use_import,interface,use_from_with_alias,use_import.exp,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,interface_use,1,1,0,0,0,0,0,0,0,0,0,16,10,83,1,,,not_attempted,not_attempted,envelope_only,not_attempted,f0fa944da86240700f7123af87d496d4cbf2eaf1ea7aeb912cca8590b32947d1
reference_import,interface,whole_schema_reference,reference_import.exp,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,interface_reference,1,1,0,0,0,0,0,0,0,0,0,9,6,56,1,,,not_attempted,not_attempted,envelope_only,not_attempted,d7b3fe8a724610097cbe26261c1d990baa648e02321b1e1b6ab03b42d1cf7876
constant_block,constant,typed_schema_constants,constant_block.exp,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,constant,1,0,0,0,0,2,0,0,0,0,0,20,15,126,1,,,not_attempted,not_attempted,envelope_only,not_attempted,01e66e85bb0b6d289e7fcc0422568c93803858bc90550f1a97a8e0b1d5976661
function_envelope,algorithm,function_header_and_body,function_envelope.exp,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,algorithm_function,1,0,0,0,1,0,0,0,0,0,0,24,13,111,1,,,not_attempted,not_attempted,envelope_only,not_attempted,0a3506fe0a6b929a3428a32100440729d78576677be0069dfc587740fb6375ec
procedure_envelope,algorithm,procedure_var_parameter_and_body,procedure_envelope.exp,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,algorithm_procedure,1,0,0,0,1,0,0,0,0,0,0,20,12,103,1,,,not_attempted,not_attempted,envelope_only,not_attempted,0621b4e56aebef59801ed6aa841f3589fab6c6187acd57d288f9c136719c2005
rule_envelope,algorithm,rule_targets_and_where_body,rule_envelope.exp,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,algorithm_rule|attribute_explicit|entity,1,0,0,1,1,0,1,0,0,0,0,33,20,154,1,,,not_attempted,not_attempted,envelope_only,not_attempted,cfd2e442c68286abfb213a904163576e093f7647f452c2f3abff7195b6b08cc3
multiple_schemas,schema,two_schema_declarations,multiple_schemas.exp,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,multiple_schemas,2,0,0,0,0,0,0,0,0,0,0,10,6,67,1,,,not_attempted,not_attempted,envelope_only,not_attempted,ffae4e8f23a7dd1c9e38dfafd245cf9785e1005da74e1c5e6a98800660871bc9
source_literals,lexical,string_binary_encoded_and_real_literals,source_literals.exp,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,constant,1,0,0,0,0,4,0,0,0,0,0,32,25,184,1,,,not_attempted,not_attempted,envelope_only,not_attempted,71c036623c9c0d1fa7891b50c1fcc13eec0b3fbb143f991ff1f832e890a4e854
missing_schema,schema,source_has_no_schema,missing_schema.exp,reject,reject,1,missing_schema,missing_schema,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,not_attempted,not_attempted,envelope_only,not_attempted,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
invalid_source_character,lexical,non_ascii_source_byte,invalid_source_character.exp,reject,reject,1,unsupported_source_character,unsupported_source_character,,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,,,not_attempted,not_attempted,envelope_only,not_attempted,94449c44d29f1d7329b6bfeb0b81016194e080cfff47bb92576d2a640e66eb48
invalid_identifier,lexical,identifier_starts_with_underscore,invalid_identifier.exp,reject,reject,1,invalid_identifier,invalid_identifier,,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,8,not_attempted,not_attempted,envelope_only,not_attempted,94d65b61fda74c5d030775e680621027612680003e09d9182bc1f387ceb39403
unterminated_comment,lexical,block_comment_reaches_eof,unterminated_comment.exp,reject,reject,1,unterminated_comment,unterminated_comment,,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1,14,not_attempted,not_attempted,envelope_only,not_attempted,ac820a09cb7cd6d565e09a07a66ad17ec471eac96b3d3e6eda0968b66713a8f2
unmatched_comment_close,lexical,comment_close_without_open,unmatched_comment_close.exp,reject,reject,1,unmatched_comment_close,unmatched_comment_close,,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,1,14,not_attempted,not_attempted,envelope_only,not_attempted,d6f1aa63f0f9edcefd011b3815a58deadc375ceceb9d615ac8210a3036dfe819
unterminated_string,lexical,string_crosses_line,unterminated_string.exp,reject,reject,1,unterminated_string,unterminated_string,,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,1,41,not_attempted,not_attempted,envelope_only,not_attempted,a634fd0a32823e27ea4ef679aa98e31c26fcfa037386cc190ea13b254dd05527
invalid_binary,lexical,binary_has_no_bits,invalid_binary.exp,reject,reject,1,invalid_binary_literal,invalid_binary_literal,,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,1,40,not_attempted,not_attempted,envelope_only,not_attempted,b4fbdaa4b4e36608aff056d0c005aa3880ccd4f7e2fc1ce9488b1e69cdde07e8
invalid_real,lexical,exponent_without_decimal_point,invalid_real.exp,reject,reject,1,invalid_real_literal,invalid_real_literal,,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,1,39,not_attempted,not_attempted,envelope_only,not_attempted,a63046b2839626a30563622985b36c6e0c42c5d442495a5708d9ef59de148fcb
missing_header_semicolon,schema,schema_header_has_no_semicolon,missing_header_semicolon.exp,reject,reject,1,missing_semicolon,missing_semicolon,,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,2,1,not_attempted,not_attempted,envelope_only,not_attempted,ef1d5b8b2f45c2a0375c5d9d487cc47e44297240901d319fddc5e7a968669883
missing_end_schema,schema,schema_reaches_eof,missing_end_schema.exp,reject,reject,1,missing_end_schema,missing_end_schema,,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,1,not_attempted,not_attempted,envelope_only,not_attempted,77920fc256a878737a744762a4f9ee27415b6de615b28321c1a308f25f477770
duplicate_schema,schema,case_insensitive_schema_collision,duplicate_schema.exp,reject,reject,1,duplicate_schema,duplicate_schema,,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,2,1,not_attempted,not_attempted,envelope_only,not_attempted,253c89792b8c2e61de49865d559052f8cfe0d7cdcd7ff4c995b7507eda8af410
duplicate_declaration,model,type_and_entity_name_collision,duplicate_declaration.exp,reject,reject,1,duplicate_declaration,duplicate_declaration,,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,,,not_attempted,not_attempted,envelope_only,not_attempted,3acfd19e0ae9b3335e01bdef4174664494d63a94ba043edac71fa9fb91bdc137
empty_select,type,select_member_list_is_empty,empty_select.exp,reject,reject,1,empty_identifier_list,empty_identifier_list,,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,2,23,not_attempted,not_attempted,envelope_only,not_attempted,05e55f8cfe5951900f1725194785b62ba585d663be180358db5d2913c44f71c0
missing_end_entity,entity,entity_reaches_schema_end,missing_end_entity.exp,reject,reject,1,missing_end_entity,missing_end_entity,,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,3,1,not_attempted,not_attempted,envelope_only,not_attempted,9fcad5c8e3ab902123c3114024f98b66f2e2459cdce634bd478bede4a50a377c
duplicate_attribute,entity,case_insensitive_attribute_collision,duplicate_attribute.exp,reject,reject,1,duplicate_attribute,duplicate_attribute,,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,,,not_attempted,not_attempted,envelope_only,not_attempted,427a89e487338ae4d36b88d091a40302ad159e274c3a60a4d9699c2f322e548b
derived_missing_assignment,entity,derived_attribute_lacks_assignment,derived_missing_assignment.exp,reject,reject,1,missing_derived_assignment,missing_derived_assignment,,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,2,50,not_attempted,not_attempted,envelope_only,not_attempted,e79a06bbb35e85a4cd1ff4ffdcedafd6570856b6e181d997ce7eeb2f2b4b2327
empty_where,constraint,where_section_has_no_rule,empty_where.exp,reject,reject,1,empty_rule_section,empty_rule_section,,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,2,28,not_attempted,not_attempted,envelope_only,not_attempted,adf5261331a21546653016abcd611540a2cc37d6527aadb684c0c4d91543de09
unsupported_declaration,boundary,context_declaration_is_outside_subset,unsupported_declaration.exp,reject,reject,1,unsupported_declaration,unsupported_declaration,,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,2,1,not_attempted,not_attempted,envelope_only,not_attempted,63932730d5f32481a3813f42b6df3ccac14d7a32fd0c8fbc712c4ebc04860eda
missing_end_function,algorithm,function_reaches_schema_end,missing_end_function.exp,reject,reject,1,missing_end_function,missing_end_function,,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,3,11,not_attempted,not_attempted,envelope_only,not_attempted,4eab0c3e1b2a2146064ad9550a9b967021698e85077494f3e0bba123c419c92c
comment_nesting_limit,resource_limit,nested_comments_exceed_limit,comment_nesting_limit.exp,quarantine,quarantine,1,comment_nesting_limit,comment_nesting_limit,,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,1,14,not_attempted,not_attempted,envelope_only,not_attempted,ff98e2520c8d096a49a6330919a6a5b093ccf7e32409845832f4bd1e813d818b
