platform_label,fixture,condition,profile,require_integrity,opaque_metadata_policy,retention_policy,expected_decision,observed_decision,expectation_met,expected_reason_code,reason_code,emitted,stages_evaluated,decisive_stage,trace,source_field_count,retained_field_count,dropped_field_count,opaque_component_count,integrity_status_before,integrity_status_after,input_sha256,output_sha256
linux-x64-reference,malformed_assertion,malformed_assertion,minimal_export,0,strip,strip_all,quarantine,quarantine,1,integrity_assertion_json_invalid,integrity_assertion_json_invalid,0,4,integrity,resource:pass:within_resource_budget:0|coverage:pass:coverage_complete:0|opacity:pass:no_opaque_metadata:0|integrity:stop:integrity_assertion_json_invalid:1,0,0,0,0,malformed_assertion,not_emitted,378f382a0661a777a947658a903e2f651e84a14ca13b9d30f83a15ad7ee9d2cf,
linux-x64-reference,malformed_assertion,malformed_assertion,open_catalog,0,allow,retain_all,quarantine,quarantine,1,integrity_assertion_json_invalid,integrity_assertion_json_invalid,0,4,integrity,resource:pass:within_resource_budget:0|coverage:pass:coverage_complete:0|opacity:pass:no_opaque_metadata:0|integrity:stop:integrity_assertion_json_invalid:1,0,0,0,0,malformed_assertion,not_emitted,378f382a0661a777a947658a903e2f651e84a14ca13b9d30f83a15ad7ee9d2cf,
linux-x64-reference,malformed_assertion,malformed_assertion,privacy_review,0,quarantine,allow_visual_context,quarantine,quarantine,1,integrity_assertion_json_invalid,integrity_assertion_json_invalid,0,4,integrity,resource:pass:within_resource_budget:0|coverage:pass:coverage_complete:0|opacity:pass:no_opaque_metadata:0|integrity:stop:integrity_assertion_json_invalid:1,0,0,0,0,malformed_assertion,not_emitted,378f382a0661a777a947658a903e2f651e84a14ca13b9d30f83a15ad7ee9d2cf,
linux-x64-reference,malformed_assertion,malformed_assertion,verified_archive,1,quarantine,retain_all,quarantine,quarantine,1,integrity_assertion_json_invalid,integrity_assertion_json_invalid,0,4,integrity,resource:pass:within_resource_budget:0|coverage:pass:coverage_complete:0|opacity:pass:no_opaque_metadata:0|integrity:stop:integrity_assertion_json_invalid:1,0,0,0,0,malformed_assertion,not_emitted,378f382a0661a777a947658a903e2f651e84a14ca13b9d30f83a15ad7ee9d2cf,
linux-x64-reference,malformed_container,malformed_container,minimal_export,0,strip,strip_all,reject,reject,1,resource_segment_overrun,resource_segment_overrun,0,1,resource,resource:stop:resource_segment_overrun:1,0,0,0,0,not_evaluated,not_emitted,9bc6fe936c26e59627bf061909cbf2105b2462c071fd041261c892b1ba5e3c33,
linux-x64-reference,malformed_container,malformed_container,open_catalog,0,allow,retain_all,reject,reject,1,resource_segment_overrun,resource_segment_overrun,0,1,resource,resource:stop:resource_segment_overrun:1,0,0,0,0,not_evaluated,not_emitted,9bc6fe936c26e59627bf061909cbf2105b2462c071fd041261c892b1ba5e3c33,
linux-x64-reference,malformed_container,malformed_container,privacy_review,0,quarantine,allow_visual_context,reject,reject,1,resource_segment_overrun,resource_segment_overrun,0,1,resource,resource:stop:resource_segment_overrun:1,0,0,0,0,not_evaluated,not_emitted,9bc6fe936c26e59627bf061909cbf2105b2462c071fd041261c892b1ba5e3c33,
linux-x64-reference,malformed_container,malformed_container,verified_archive,1,quarantine,retain_all,reject,reject,1,resource_segment_overrun,resource_segment_overrun,0,1,resource,resource:stop:resource_segment_overrun:1,0,0,0,0,not_evaluated,not_emitted,9bc6fe936c26e59627bf061909cbf2105b2462c071fd041261c892b1ba5e3c33,
linux-x64-reference,opaque_valid_assertion,opaque_valid_assertion,minimal_export,0,strip,strip_all,sanitize,sanitize,1,policy_sanitize,policy_sanitize,1,5,retention,resource:pass:within_resource_budget:0|coverage:pass:coverage_complete_with_opaque:0|opacity:pass:opaque_metadata_will_be_stripped:0|integrity:pass:valid_binding:0|retention:transform:policy_sanitize:1,0,0,0,1,valid_binding,missing_assertion,66cfcb05ebef6541f8c0ab5cb80154dae06f738a2a0d59bb1f739c7dae279e1e,5ca8e2bab66742bb5c4b28b542dd0867179a6fb4a5207dc939d405f7d38fa641
linux-x64-reference,opaque_valid_assertion,opaque_valid_assertion,open_catalog,0,allow,retain_all,accept,accept,1,policy_accept,policy_accept,1,5,retention,resource:pass:within_resource_budget:0|coverage:pass:coverage_complete_with_opaque:0|opacity:pass:opaque_metadata_allowed:0|integrity:pass:valid_binding:0|retention:emit:policy_accept:1,0,0,0,1,valid_binding,valid_binding,66cfcb05ebef6541f8c0ab5cb80154dae06f738a2a0d59bb1f739c7dae279e1e,66cfcb05ebef6541f8c0ab5cb80154dae06f738a2a0d59bb1f739c7dae279e1e
linux-x64-reference,opaque_valid_assertion,opaque_valid_assertion,privacy_review,0,quarantine,allow_visual_context,quarantine,quarantine,1,opaque_metadata_quarantined,opaque_metadata_quarantined,0,3,opacity,resource:pass:within_resource_budget:0|coverage:pass:coverage_complete_with_opaque:0|opacity:stop:opaque_metadata_quarantined:1,0,0,0,1,not_evaluated,not_emitted,66cfcb05ebef6541f8c0ab5cb80154dae06f738a2a0d59bb1f739c7dae279e1e,
linux-x64-reference,opaque_valid_assertion,opaque_valid_assertion,verified_archive,1,quarantine,retain_all,quarantine,quarantine,1,opaque_metadata_quarantined,opaque_metadata_quarantined,0,3,opacity,resource:pass:within_resource_budget:0|coverage:pass:coverage_complete_with_opaque:0|opacity:stop:opaque_metadata_quarantined:1,0,0,0,1,not_evaluated,not_emitted,66cfcb05ebef6541f8c0ab5cb80154dae06f738a2a0d59bb1f739c7dae279e1e,
linux-x64-reference,resource_over_budget,resource_over_budget,minimal_export,0,strip,strip_all,quarantine,quarantine,1,resource_metadata_segment_limit_exceeded,resource_metadata_segment_limit_exceeded,0,1,resource,resource:stop:resource_metadata_segment_limit_exceeded:1,0,0,0,0,not_evaluated,not_emitted,a5b7e6109143737bdd9d84e4969e133c81feafc5a38a351392fb8115613fd3af,
linux-x64-reference,resource_over_budget,resource_over_budget,open_catalog,0,allow,retain_all,quarantine,quarantine,1,resource_metadata_segment_limit_exceeded,resource_metadata_segment_limit_exceeded,0,1,resource,resource:stop:resource_metadata_segment_limit_exceeded:1,0,0,0,0,not_evaluated,not_emitted,a5b7e6109143737bdd9d84e4969e133c81feafc5a38a351392fb8115613fd3af,
linux-x64-reference,resource_over_budget,resource_over_budget,privacy_review,0,quarantine,allow_visual_context,quarantine,quarantine,1,resource_metadata_segment_limit_exceeded,resource_metadata_segment_limit_exceeded,0,1,resource,resource:stop:resource_metadata_segment_limit_exceeded:1,0,0,0,0,not_evaluated,not_emitted,a5b7e6109143737bdd9d84e4969e133c81feafc5a38a351392fb8115613fd3af,
linux-x64-reference,resource_over_budget,resource_over_budget,verified_archive,1,quarantine,retain_all,quarantine,quarantine,1,resource_metadata_segment_limit_exceeded,resource_metadata_segment_limit_exceeded,0,1,resource,resource:stop:resource_metadata_segment_limit_exceeded:1,0,0,0,0,not_evaluated,not_emitted,a5b7e6109143737bdd9d84e4969e133c81feafc5a38a351392fb8115613fd3af,
linux-x64-reference,stale_assertion,stale_assertion,minimal_export,0,strip,strip_all,quarantine,quarantine,1,integrity_binding_mismatch,integrity_binding_mismatch,0,4,integrity,resource:pass:within_resource_budget:0|coverage:pass:coverage_complete:0|opacity:pass:no_opaque_metadata:0|integrity:stop:integrity_binding_mismatch:1,0,0,0,0,stale_binding,not_emitted,0d5067dc1f8f180de014fe27c5dad351cf305c614b1311d8688dbd672e8bc48d,
linux-x64-reference,stale_assertion,stale_assertion,open_catalog,0,allow,retain_all,quarantine,quarantine,1,integrity_binding_mismatch,integrity_binding_mismatch,0,4,integrity,resource:pass:within_resource_budget:0|coverage:pass:coverage_complete:0|opacity:pass:no_opaque_metadata:0|integrity:stop:integrity_binding_mismatch:1,0,0,0,0,stale_binding,not_emitted,0d5067dc1f8f180de014fe27c5dad351cf305c614b1311d8688dbd672e8bc48d,
linux-x64-reference,stale_assertion,stale_assertion,privacy_review,0,quarantine,allow_visual_context,quarantine,quarantine,1,integrity_binding_mismatch,integrity_binding_mismatch,0,4,integrity,resource:pass:within_resource_budget:0|coverage:pass:coverage_complete:0|opacity:pass:no_opaque_metadata:0|integrity:stop:integrity_binding_mismatch:1,0,0,0,0,stale_binding,not_emitted,0d5067dc1f8f180de014fe27c5dad351cf305c614b1311d8688dbd672e8bc48d,
linux-x64-reference,stale_assertion,stale_assertion,verified_archive,1,quarantine,retain_all,quarantine,quarantine,1,integrity_binding_mismatch,integrity_binding_mismatch,0,4,integrity,resource:pass:within_resource_budget:0|coverage:pass:coverage_complete:0|opacity:pass:no_opaque_metadata:0|integrity:stop:integrity_binding_mismatch:1,0,0,0,0,stale_binding,not_emitted,0d5067dc1f8f180de014fe27c5dad351cf305c614b1311d8688dbd672e8bc48d,
