fixture,category,expected_decision,parser,outcome,return_code,diagnostic_class,agreement_with_fixture_expectation
unterminated_comment,comment,reject,research_notes,reject,1,unterminated_comment,1
unterminated_comment,comment,reject,steputils,reject,1,ParseError,1
unterminated_comment,comment,reject,ifcopenshell_step_file_parser,reject,1,CollectedValidationErrors,1
invalid_binary,binary,reject,research_notes,reject,1,invalid_binary,1
invalid_binary,binary,reject,steputils,reject,1,ParseError,1
invalid_binary,binary,reject,ifcopenshell_step_file_parser,reject,1,CollectedValidationErrors,1
invalid_string_control,character_encoding,reject,research_notes,reject,1,invalid_string_control_directive,1
invalid_string_control,character_encoding,reject,steputils,accept,0,none,0
invalid_string_control,character_encoding,reject,ifcopenshell_step_file_parser,reject,1,CollectedValidationErrors,1
edition1_multiple_data,edition,reject,research_notes,reject,1,edition_feature_mismatch,1
edition1_multiple_data,edition,reject,steputils,reject,1,ParseError,1
edition1_multiple_data,edition,reject,ifcopenshell_step_file_parser,reject,1,CollectedValidationErrors,1
edition2_direct_utf8,character_encoding,reject,research_notes,reject,1,edition_feature_mismatch,1
edition2_direct_utf8,character_encoding,reject,steputils,reject,1,ParseError,1
edition2_direct_utf8,character_encoding,reject,ifcopenshell_step_file_parser,reject,1,CollectedValidationErrors,1
edition2_anchor,anchor,reject,research_notes,reject,1,edition_feature_mismatch,1
edition2_anchor,anchor,reject,steputils,reject,1,ParseError,1
edition2_anchor,anchor,reject,ifcopenshell_step_file_parser,reject,1,CollectedValidationErrors,1
reference_class_1,external_reference,reject,research_notes,reject,1,conformance_class_mismatch,1
reference_class_1,external_reference,reject,steputils,reject,1,ParseError,1
reference_class_1,external_reference,reject,ifcopenshell_step_file_parser,reject,1,CollectedValidationErrors,1
constant_class_2,constant,reject,research_notes,reject,1,conformance_class_mismatch,1
constant_class_2,constant,reject,steputils,reject,1,ParseError,1
constant_class_2,constant,reject,ifcopenshell_step_file_parser,reject,1,CollectedValidationErrors,1
invalid_signature,signature,reject,research_notes,reject,1,invalid_signature_base64,1
invalid_signature,signature,reject,steputils,reject,1,ParseError,1
invalid_signature,signature,reject,ifcopenshell_step_file_parser,reject,1,CollectedValidationErrors,1
zero_occurrence,occurrence_name,reject,research_notes,reject,1,invalid_occurrence_name,1
zero_occurrence,occurrence_name,reject,steputils,accept,0,none,0
zero_occurrence,occurrence_name,reject,ifcopenshell_step_file_parser,reject,1,CollectedValidationErrors,1
edition2_no_data,edition,reject,research_notes,reject,1,edition_feature_mismatch,1
edition2_no_data,edition,reject,steputils,accept,0,none,0
edition2_no_data,edition,reject,ifcopenshell_step_file_parser,reject,1,CollectedValidationErrors,1
invalid_utf8,character_encoding,reject,research_notes,reject,1,invalid_utf8,1
invalid_utf8,character_encoding,reject,steputils,reject,1,UnicodeDecodeError,1
invalid_utf8,character_encoding,reject,ifcopenshell_step_file_parser,reject,1,UnicodeDecodeError,1
zip_root,archive,accept,research_notes,accept,0,controlled_syntax_conforms,1
zip_root,archive,accept,steputils,reject,1,UnicodeDecodeError,0
zip_root,archive,accept,ifcopenshell_step_file_parser,reject,1,UnicodeDecodeError,0
zip_missing_root,archive,reject,research_notes,reject,1,archive_root_missing,1
zip_missing_root,archive,reject,steputils,reject,1,UnicodeDecodeError,1
zip_missing_root,archive,reject,ifcopenshell_step_file_parser,reject,1,UnicodeDecodeError,1
zip_unsafe_path,archive,reject,research_notes,reject,1,archive_unsafe_path,1
zip_unsafe_path,archive,reject,steputils,reject,1,UnicodeDecodeError,1
zip_unsafe_path,archive,reject,ifcopenshell_step_file_parser,reject,1,UnicodeDecodeError,1
