contract_version,control_id,stage,source_file,source_sha256,relation_id,analysis_edge_index,first_node_id,second_node_id,curve_type,length,edge_tolerance,representative_normal_dot,representative_normals_parallel,topology_provenance,geometry_provenance,exchange_provenance
1.0.0,through_hole,step_imported,graph_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,e8,8,f3,f6,line,8,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,through_hole,step_imported,graph_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,e9,9,f3,f4,line,12,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,through_hole,step_imported,graph_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,e10,10,f3,f7,circle,7.8539816339744828,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,through_hole,step_imported,graph_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,e11,11,f4,f5,line,12,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,through_hole,step_imported,graph_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,e12,12,f4,f6,line,6,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,through_hole,step_imported,graph_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,e13,13,f5,f6,line,8,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,through_hole,step_imported,graph_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,e14,14,f5,f7,circle,7.8539816339744828,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,stepped_block,constructed,,,e1,1,f1,f6,line,8,1.0000000000000002e-07,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,stepped_block,constructed,,,e2,2,f1,f2,line,8,1.0000000000000002e-07,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,stepped_block,constructed,,,e3,3,f1,f7,line,12,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,stepped_block,constructed,,,e4,4,f1,f8,line,12,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,stepped_block,constructed,,,e5,5,f2,f3,line,8,1.0000000000000002e-07,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,stepped_block,constructed,,,e6,6,f2,f7,line,3,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,stepped_block,constructed,,,e7,7,f2,f8,line,3,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,stepped_block,constructed,,,e8,8,f3,f4,line,8,1.0000000000000002e-07,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,stepped_block,constructed,,,e9,9,f3,f7,line,7,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,stepped_block,constructed,,,e10,10,f3,f8,line,7,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,stepped_block,constructed,,,e11,11,f4,f5,line,8,1.0000000000000002e-07,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,stepped_block,constructed,,,e12,12,f4,f7,line,2,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,stepped_block,constructed,,,e13,13,f4,f8,line,2,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,stepped_block,constructed,,,e14,14,f5,f6,line,8,1.0000000000000002e-07,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,stepped_block,constructed,,,e15,15,f5,f7,line,5,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,stepped_block,constructed,,,e16,16,f5,f8,line,5,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,stepped_block,constructed,,,e17,17,f6,f7,line,5,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,stepped_block,constructed,,,e18,18,f6,f8,line,5,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,stepped_block,step_imported,graph_stepped_block.step,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,e1,1,f1,f6,line,8,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,stepped_block,step_imported,graph_stepped_block.step,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,e2,2,f1,f8,line,12,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,stepped_block,step_imported,graph_stepped_block.step,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,e3,3,f1,f2,line,8,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,stepped_block,step_imported,graph_stepped_block.step,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,e4,4,f1,f7,line,12,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,stepped_block,step_imported,graph_stepped_block.step,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,e5,5,f2,f8,line,3,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,stepped_block,step_imported,graph_stepped_block.step,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,e6,6,f2,f3,line,8,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,stepped_block,step_imported,graph_stepped_block.step,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,e7,7,f2,f7,line,3,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,stepped_block,step_imported,graph_stepped_block.step,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,e8,8,f3,f8,line,7,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,stepped_block,step_imported,graph_stepped_block.step,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,e9,9,f3,f4,line,8,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,stepped_block,step_imported,graph_stepped_block.step,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,e10,10,f3,f7,line,7,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,stepped_block,step_imported,graph_stepped_block.step,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,e11,11,f4,f8,line,2,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,stepped_block,step_imported,graph_stepped_block.step,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,e12,12,f4,f5,line,8,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,stepped_block,step_imported,graph_stepped_block.step,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,e13,13,f4,f7,line,2,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,stepped_block,step_imported,graph_stepped_block.step,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,e14,14,f5,f8,line,5,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,stepped_block,step_imported,graph_stepped_block.step,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,e15,15,f5,f6,line,8,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,stepped_block,step_imported,graph_stepped_block.step,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,e16,16,f5,f7,line,5,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,stepped_block,step_imported,graph_stepped_block.step,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,e17,17,f6,f8,line,5,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,stepped_block,step_imported,graph_stepped_block.step,d3dbec2139d94d6bb4efbbed5453759ad2d243c2ec6fa9e49cf6cd2018606b9d,e18,18,f6,f7,line,5,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,fillet_operation,constructed,,,e1,1,f1,f2,line,5,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,fillet_operation,constructed,,,e2,2,f1,f3,line,8,9.9999999999999995e-08,0.70710678118654757,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,fillet_operation,constructed,,,e3,3,f1,f4,line,8,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,fillet_operation,constructed,,,e4,4,f1,f5,line,5,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,fillet_operation,constructed,,,e5,5,f2,f3,circle,1.5707963267948966,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,fillet_operation,constructed,,,e6,6,f2,f4,line,12,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,fillet_operation,constructed,,,e7,7,f2,f6,line,11,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,fillet_operation,constructed,,,e8,8,f2,f7,line,6,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,fillet_operation,constructed,,,e9,9,f3,f6,line,8,9.9999999999999995e-08,0.70710678118654746,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,fillet_operation,constructed,,,e10,10,f3,f5,circle,1.5707963267948966,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,fillet_operation,constructed,,,e11,11,f4,f7,line,8,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,fillet_operation,constructed,,,e12,12,f4,f5,line,12,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,fillet_operation,constructed,,,e13,13,f5,f6,line,11,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,fillet_operation,constructed,,,e14,14,f5,f7,line,6,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,fillet_operation,constructed,,,e15,15,f6,f7,line,8,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,fillet_operation,step_imported,graph_fillet_operation.step,c10fee8a84fc0205bc5afd8dfbb089f8f41d0e2c1fe6e19cb2b29020729b5758,e1,1,f1,f2,line,5,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,fillet_operation,step_imported,graph_fillet_operation.step,c10fee8a84fc0205bc5afd8dfbb089f8f41d0e2c1fe6e19cb2b29020729b5758,e2,2,f1,f4,line,8,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,fillet_operation,step_imported,graph_fillet_operation.step,c10fee8a84fc0205bc5afd8dfbb089f8f41d0e2c1fe6e19cb2b29020729b5758,e3,3,f1,f5,line,5,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
