fixture,occurrence_index,role,source_entity_id,target_entity_id,source_edge_index,parameter_path,source_line,source_column
source_frame_offset,0,item_defined_transformation.transform_item_1,1004,1005,46,2,45,41
source_frame_offset,0,item_defined_transformation.transform_item_2,1004,1006,47,3,45,47
source_frame_offset,0,child_representation.items,205,1005,29,1.2,31,55
source_frame_offset,0,parent_representation.items,105,1006,11,1.2,16,54
source_frame_offset,0,product_definition_shape.definition,203,202,24,2,29,37
source_frame_offset,0,shape_definition_representation.definition,204,203,25,0,30,38
source_frame_offset,0,shape_definition_representation.used_representation,204,205,26,1,30,43
source_frame_offset,0,product_definition_shape.definition,103,102,6,2,14,37
source_frame_offset,0,shape_definition_representation.definition,104,103,7,0,15,38
source_frame_offset,0,shape_definition_representation.used_representation,104,105,8,1,15,43
source_frame_offset,0,child_representation.context_of_items,205,211,30,2,31,62
source_frame_offset,0,child_representation.length_unit,211,212,35,0.0,37,72
source_frame_offset,0,parent_representation.context_of_items,105,111,12,2,16,61
source_frame_offset,0,parent_representation.length_unit,111,112,17,0.0,22,72
source_frame_offset,0,source_placement.location,1005,1007,48,1,46,29
source_frame_offset,0,source_placement.axis,1005,1009,49,2,46,35
source_frame_offset,0,source_placement.reference_direction,1005,1010,50,3,46,41
source_frame_offset,0,target_placement.location,1006,1008,51,1,47,29
source_frame_offset,0,target_placement.axis,1006,1011,52,2,47,35
source_frame_offset,0,target_placement.reference_direction,1006,1012,53,3,47,41
nested_reuse,0,assembly_occurrence.parent_definition,1000,102,61,3,56,81
nested_reuse,0,assembly_occurrence.child_definition,1000,302,62,4,56,86
nested_reuse,0,occurrence_shape.definition,1001,1000,63,2,57,38
nested_reuse,0,context_dependent_shape_representation.represented_product_relation,1002,1001,65,1,58,52
nested_reuse,0,context_dependent_shape_representation.representation_relation,1002,1003,64,0,58,46
nested_reuse,0,representation_relationship.child_representation,1003,305,66,2,59,42
nested_reuse,0,representation_relationship.parent_representation,1003,105,67,3,59,47
nested_reuse,0,representation_relationship.transformation_operator,1003,1004,68,0,59,100
nested_reuse,0,item_defined_transformation.transform_item_1,1004,1005,69,2,60,41
nested_reuse,0,item_defined_transformation.transform_item_2,1004,1006,70,3,60,47
nested_reuse,0,child_representation.items,305,1005,31,1.2,31,52
nested_reuse,0,parent_representation.items,105,1006,11,1.2,16,54
nested_reuse,0,product_definition_shape.definition,303,302,26,2,29,37
nested_reuse,0,shape_definition_representation.definition,304,303,27,0,30,38
nested_reuse,0,shape_definition_representation.used_representation,304,305,28,1,30,43
nested_reuse,0,product_definition_shape.definition,103,102,6,2,14,37
nested_reuse,0,shape_definition_representation.definition,104,103,7,0,15,38
nested_reuse,0,shape_definition_representation.used_representation,104,105,8,1,15,43
nested_reuse,0,child_representation.context_of_items,305,311,33,2,31,65
nested_reuse,0,child_representation.length_unit,311,312,38,0.0,37,72
nested_reuse,0,parent_representation.context_of_items,105,111,14,2,16,73
nested_reuse,0,parent_representation.length_unit,111,112,19,0.0,22,72
nested_reuse,0,source_placement.location,1005,1007,71,1,61,29
nested_reuse,0,source_placement.axis,1005,1009,72,2,61,35
nested_reuse,0,source_placement.reference_direction,1005,1010,73,3,61,41
nested_reuse,0,target_placement.location,1006,1008,74,1,62,29
nested_reuse,0,target_placement.axis,1006,1011,75,2,62,35
nested_reuse,0,target_placement.reference_direction,1006,1012,76,3,62,41
nested_reuse,1,assembly_occurrence.parent_definition,1100,102,77,3,69,83
nested_reuse,1,assembly_occurrence.child_definition,1100,402,78,4,69,88
nested_reuse,1,occurrence_shape.definition,1101,1100,79,2,70,38
nested_reuse,1,context_dependent_shape_representation.represented_product_relation,1102,1101,81,1,71,52
nested_reuse,1,context_dependent_shape_representation.representation_relation,1102,1103,80,0,71,46
nested_reuse,1,representation_relationship.child_representation,1103,405,82,2,72,42
nested_reuse,1,representation_relationship.parent_representation,1103,105,83,3,72,47
nested_reuse,1,representation_relationship.transformation_operator,1103,1104,84,0,72,100
nested_reuse,1,item_defined_transformation.transform_item_1,1104,1105,85,2,73,41
nested_reuse,1,item_defined_transformation.transform_item_2,1104,1106,86,3,73,47
nested_reuse,1,child_representation.items,405,1105,50,1.2,46,54
nested_reuse,1,parent_representation.items,105,1106,12,1.3,16,60
nested_reuse,1,product_definition_shape.definition,403,402,45,2,44,37
nested_reuse,1,shape_definition_representation.definition,404,403,46,0,45,38
nested_reuse,1,shape_definition_representation.used_representation,404,405,47,1,45,43
nested_reuse,1,product_definition_shape.definition,103,102,6,2,14,37
nested_reuse,1,shape_definition_representation.definition,104,103,7,0,15,38
nested_reuse,1,shape_definition_representation.used_representation,104,105,8,1,15,43
nested_reuse,1,child_representation.context_of_items,405,411,53,2,46,73
nested_reuse,1,child_representation.length_unit,411,412,58,0.0,52,72
nested_reuse,1,parent_representation.context_of_items,105,111,14,2,16,73
nested_reuse,1,parent_representation.length_unit,111,112,19,0.0,22,72
nested_reuse,1,source_placement.location,1105,1107,87,1,74,29
nested_reuse,1,source_placement.axis,1105,1109,88,2,74,35
nested_reuse,1,source_placement.reference_direction,1105,1110,89,3,74,41
nested_reuse,1,target_placement.location,1106,1108,90,1,75,29
nested_reuse,1,target_placement.axis,1106,1111,91,2,75,35
nested_reuse,1,target_placement.reference_direction,1106,1112,92,3,75,41
nested_reuse,2,assembly_occurrence.parent_definition,1200,102,93,3,82,83
nested_reuse,2,assembly_occurrence.child_definition,1200,402,94,4,82,88
nested_reuse,2,occurrence_shape.definition,1201,1200,95,2,83,38
nested_reuse,2,context_dependent_shape_representation.represented_product_relation,1202,1201,97,1,84,52
nested_reuse,2,context_dependent_shape_representation.representation_relation,1202,1203,96,0,84,46
nested_reuse,2,representation_relationship.child_representation,1203,405,98,2,85,42
nested_reuse,2,representation_relationship.parent_representation,1203,105,99,3,85,47
nested_reuse,2,representation_relationship.transformation_operator,1203,1204,100,0,85,100
nested_reuse,2,item_defined_transformation.transform_item_1,1204,1205,101,2,86,41
nested_reuse,2,item_defined_transformation.transform_item_2,1204,1206,102,3,86,47
nested_reuse,2,child_representation.items,405,1205,51,1.3,46,60
nested_reuse,2,parent_representation.items,105,1206,13,1.4,16,66
nested_reuse,2,product_definition_shape.definition,403,402,45,2,44,37
nested_reuse,2,shape_definition_representation.definition,404,403,46,0,45,38
nested_reuse,2,shape_definition_representation.used_representation,404,405,47,1,45,43
nested_reuse,2,product_definition_shape.definition,103,102,6,2,14,37
nested_reuse,2,shape_definition_representation.definition,104,103,7,0,15,38
nested_reuse,2,shape_definition_representation.used_representation,104,105,8,1,15,43
nested_reuse,2,child_representation.context_of_items,405,411,53,2,46,73
nested_reuse,2,child_representation.length_unit,411,412,58,0.0,52,72
nested_reuse,2,parent_representation.context_of_items,105,111,14,2,16,73
nested_reuse,2,parent_representation.length_unit,111,112,19,0.0,22,72
nested_reuse,2,source_placement.location,1205,1207,103,1,87,29
nested_reuse,2,source_placement.axis,1205,1209,104,2,87,35
nested_reuse,2,source_placement.reference_direction,1205,1210,105,3,87,41
nested_reuse,2,target_placement.location,1206,1208,106,1,88,29
nested_reuse,2,target_placement.axis,1206,1211,107,2,88,35
nested_reuse,2,target_placement.reference_direction,1206,1212,108,3,88,41
nested_reuse,3,assembly_occurrence.parent_definition,1300,302,109,3,95,81
nested_reuse,3,assembly_occurrence.child_definition,1300,402,110,4,95,86
nested_reuse,3,occurrence_shape.definition,1301,1300,111,2,96,38
nested_reuse,3,context_dependent_shape_representation.represented_product_relation,1302,1301,113,1,97,52
nested_reuse,3,context_dependent_shape_representation.representation_relation,1302,1303,112,0,97,46
nested_reuse,3,representation_relationship.child_representation,1303,405,114,2,98,42
nested_reuse,3,representation_relationship.parent_representation,1303,305,115,3,98,47
nested_reuse,3,representation_relationship.transformation_operator,1303,1304,116,0,98,100
nested_reuse,3,item_defined_transformation.transform_item_1,1304,1305,117,2,99,41
nested_reuse,3,item_defined_transformation.transform_item_2,1304,1306,118,3,99,47
nested_reuse,3,child_representation.items,405,1305,52,1.4,46,66
nested_reuse,3,parent_representation.items,305,1306,32,1.3,31,58
nested_reuse,3,product_definition_shape.definition,403,402,45,2,44,37
nested_reuse,3,shape_definition_representation.definition,404,403,46,0,45,38
nested_reuse,3,shape_definition_representation.used_representation,404,405,47,1,45,43
nested_reuse,3,product_definition_shape.definition,303,302,26,2,29,37
nested_reuse,3,shape_definition_representation.definition,304,303,27,0,30,38
nested_reuse,3,shape_definition_representation.used_representation,304,305,28,1,30,43
nested_reuse,3,child_representation.context_of_items,405,411,53,2,46,73
nested_reuse,3,child_representation.length_unit,411,412,58,0.0,52,72
nested_reuse,3,parent_representation.context_of_items,305,311,33,2,31,65
nested_reuse,3,parent_representation.length_unit,311,312,38,0.0,37,72
nested_reuse,3,source_placement.location,1305,1307,119,1,100,29
nested_reuse,3,source_placement.axis,1305,1309,120,2,100,35
nested_reuse,3,source_placement.reference_direction,1305,1310,121,3,100,41
nested_reuse,3,target_placement.location,1306,1308,122,1,101,29
nested_reuse,3,target_placement.axis,1306,1311,123,2,101,35
nested_reuse,3,target_placement.reference_direction,1306,1312,124,3,101,41
conversion_based_inch,0,assembly_occurrence.parent_definition,1000,102,40,3,43,80
conversion_based_inch,0,assembly_occurrence.child_definition,1000,502,41,4,43,85
conversion_based_inch,0,occurrence_shape.definition,1001,1000,42,2,44,38
conversion_based_inch,0,context_dependent_shape_representation.represented_product_relation,1002,1001,44,1,45,52
conversion_based_inch,0,context_dependent_shape_representation.representation_relation,1002,1003,43,0,45,46
conversion_based_inch,0,representation_relationship.child_representation,1003,505,45,2,46,42
conversion_based_inch,0,representation_relationship.parent_representation,1003,105,46,3,46,47
conversion_based_inch,0,representation_relationship.transformation_operator,1003,1004,47,0,46,100
conversion_based_inch,0,item_defined_transformation.transform_item_1,1004,1005,48,2,47,41
conversion_based_inch,0,item_defined_transformation.transform_item_2,1004,1006,49,3,47,47
conversion_based_inch,0,child_representation.items,505,1005,29,1.2,31,51
conversion_based_inch,0,parent_representation.items,105,1006,11,1.2,16,54
conversion_based_inch,0,product_definition_shape.definition,503,502,24,2,29,37
conversion_based_inch,0,shape_definition_representation.definition,504,503,25,0,30,38
conversion_based_inch,0,shape_definition_representation.used_representation,504,505,26,1,30,43
conversion_based_inch,0,product_definition_shape.definition,103,102,6,2,14,37
conversion_based_inch,0,shape_definition_representation.definition,104,103,7,0,15,38
conversion_based_inch,0,shape_definition_representation.used_representation,104,105,8,1,15,43
conversion_based_inch,0,child_representation.context_of_items,505,511,30,2,31,58
conversion_based_inch,0,child_representation.length_unit,511,512,35,0.0,37,72
conversion_based_inch,0,conversion_based_unit.conversion_factor,512,515,38,1,38,36
conversion_based_inch,0,length_measure_with_unit.unit_component,515,516,39,1,39,52
conversion_based_inch,0,parent_representation.context_of_items,105,111,12,2,16,61
conversion_based_inch,0,parent_representation.length_unit,111,112,17,0.0,22,72
conversion_based_inch,0,source_placement.location,1005,1007,50,1,48,29
conversion_based_inch,0,source_placement.axis,1005,1009,51,2,48,35
conversion_based_inch,0,source_placement.reference_direction,1005,1010,52,3,48,41
conversion_based_inch,0,target_placement.location,1006,1008,53,1,49,29
conversion_based_inch,0,target_placement.axis,1006,1011,54,2,49,35
conversion_based_inch,0,target_placement.reference_direction,1006,1012,55,3,49,41
duplicate_reference_designator,0,assembly_occurrence.parent_definition,1000,102,40,3,41,84
duplicate_reference_designator,0,assembly_occurrence.child_definition,1000,202,41,4,41,89
duplicate_reference_designator,0,occurrence_shape.definition,1001,1000,42,2,42,38
duplicate_reference_designator,0,context_dependent_shape_representation.represented_product_relation,1002,1001,44,1,43,52
duplicate_reference_designator,0,context_dependent_shape_representation.representation_relation,1002,1003,43,0,43,46
duplicate_reference_designator,0,representation_relationship.child_representation,1003,205,45,2,44,42
duplicate_reference_designator,0,representation_relationship.parent_representation,1003,105,46,3,44,47
duplicate_reference_designator,0,representation_relationship.transformation_operator,1003,1004,47,0,44,100
duplicate_reference_designator,0,item_defined_transformation.transform_item_1,1004,1005,48,2,45,41
duplicate_reference_designator,0,item_defined_transformation.transform_item_2,1004,1006,49,3,45,47
duplicate_reference_designator,0,child_representation.items,205,1005,30,1.2,31,55
duplicate_reference_designator,0,parent_representation.items,105,1006,11,1.2,16,54
duplicate_reference_designator,0,product_definition_shape.definition,203,202,25,2,29,37
duplicate_reference_designator,0,shape_definition_representation.definition,204,203,26,0,30,38
duplicate_reference_designator,0,shape_definition_representation.used_representation,204,205,27,1,30,43
duplicate_reference_designator,0,product_definition_shape.definition,103,102,6,2,14,37
duplicate_reference_designator,0,shape_definition_representation.definition,104,103,7,0,15,38
duplicate_reference_designator,0,shape_definition_representation.used_representation,104,105,8,1,15,43
duplicate_reference_designator,0,child_representation.context_of_items,205,211,32,2,31,68
duplicate_reference_designator,0,child_representation.length_unit,211,212,37,0.0,37,72
duplicate_reference_designator,0,parent_representation.context_of_items,105,111,13,2,16,67
duplicate_reference_designator,0,parent_representation.length_unit,111,112,18,0.0,22,72
duplicate_reference_designator,0,source_placement.location,1005,1007,50,1,46,29
duplicate_reference_designator,0,source_placement.axis,1005,1009,51,2,46,35
duplicate_reference_designator,0,source_placement.reference_direction,1005,1010,52,3,46,41
duplicate_reference_designator,0,target_placement.location,1006,1008,53,1,47,29
duplicate_reference_designator,0,target_placement.axis,1006,1011,54,2,47,35
duplicate_reference_designator,0,target_placement.reference_direction,1006,1012,55,3,47,41
duplicate_reference_designator,1,assembly_occurrence.parent_definition,1100,102,56,3,54,84
duplicate_reference_designator,1,assembly_occurrence.child_definition,1100,202,57,4,54,89
duplicate_reference_designator,1,occurrence_shape.definition,1101,1100,58,2,55,38
duplicate_reference_designator,1,context_dependent_shape_representation.represented_product_relation,1102,1101,60,1,56,52
duplicate_reference_designator,1,context_dependent_shape_representation.representation_relation,1102,1103,59,0,56,46
duplicate_reference_designator,1,representation_relationship.child_representation,1103,205,61,2,57,42
duplicate_reference_designator,1,representation_relationship.parent_representation,1103,105,62,3,57,47
duplicate_reference_designator,1,representation_relationship.transformation_operator,1103,1104,63,0,57,100
duplicate_reference_designator,1,item_defined_transformation.transform_item_1,1104,1105,64,2,58,41
duplicate_reference_designator,1,item_defined_transformation.transform_item_2,1104,1106,65,3,58,47
duplicate_reference_designator,1,child_representation.items,205,1105,31,1.3,31,61
duplicate_reference_designator,1,parent_representation.items,105,1106,12,1.3,16,60
duplicate_reference_designator,1,product_definition_shape.definition,203,202,25,2,29,37
duplicate_reference_designator,1,shape_definition_representation.definition,204,203,26,0,30,38
duplicate_reference_designator,1,shape_definition_representation.used_representation,204,205,27,1,30,43
duplicate_reference_designator,1,product_definition_shape.definition,103,102,6,2,14,37
duplicate_reference_designator,1,shape_definition_representation.definition,104,103,7,0,15,38
duplicate_reference_designator,1,shape_definition_representation.used_representation,104,105,8,1,15,43
duplicate_reference_designator,1,child_representation.context_of_items,205,211,32,2,31,68
duplicate_reference_designator,1,child_representation.length_unit,211,212,37,0.0,37,72
duplicate_reference_designator,1,parent_representation.context_of_items,105,111,13,2,16,67
duplicate_reference_designator,1,parent_representation.length_unit,111,112,18,0.0,22,72
duplicate_reference_designator,1,source_placement.location,1105,1107,66,1,59,29
duplicate_reference_designator,1,source_placement.axis,1105,1109,67,2,59,35
duplicate_reference_designator,1,source_placement.reference_direction,1105,1110,68,3,59,41
duplicate_reference_designator,1,target_placement.location,1106,1108,69,1,60,29
duplicate_reference_designator,1,target_placement.axis,1106,1111,70,2,60,35
duplicate_reference_designator,1,target_placement.reference_direction,1106,1112,71,3,60,41
assembly_cycle,0,assembly_occurrence.parent_definition,1000,102,40,3,41,84
assembly_cycle,0,assembly_occurrence.child_definition,1000,202,41,4,41,89
assembly_cycle,0,occurrence_shape.definition,1001,1000,42,2,42,38
assembly_cycle,0,context_dependent_shape_representation.represented_product_relation,1002,1001,44,1,43,52
assembly_cycle,0,context_dependent_shape_representation.representation_relation,1002,1003,43,0,43,46
assembly_cycle,0,representation_relationship.child_representation,1003,205,45,2,44,42
assembly_cycle,0,representation_relationship.parent_representation,1003,105,46,3,44,47
assembly_cycle,0,representation_relationship.transformation_operator,1003,1004,47,0,44,100
assembly_cycle,0,item_defined_transformation.transform_item_1,1004,1005,48,2,45,41
assembly_cycle,0,item_defined_transformation.transform_item_2,1004,1006,49,3,45,47
assembly_cycle,0,child_representation.items,205,1005,30,1.2,31,55
assembly_cycle,0,parent_representation.items,105,1006,11,1.2,16,54
assembly_cycle,0,product_definition_shape.definition,203,202,25,2,29,37
assembly_cycle,0,shape_definition_representation.definition,204,203,26,0,30,38
assembly_cycle,0,shape_definition_representation.used_representation,204,205,27,1,30,43
assembly_cycle,0,product_definition_shape.definition,103,102,6,2,14,37
assembly_cycle,0,shape_definition_representation.definition,104,103,7,0,15,38
assembly_cycle,0,shape_definition_representation.used_representation,104,105,8,1,15,43
assembly_cycle,0,child_representation.context_of_items,205,211,32,2,31,68
assembly_cycle,0,child_representation.length_unit,211,212,37,0.0,37,72
assembly_cycle,0,parent_representation.context_of_items,105,111,13,2,16,67
assembly_cycle,0,parent_representation.length_unit,111,112,18,0.0,22,72
assembly_cycle,0,source_placement.location,1005,1007,50,1,46,29
assembly_cycle,0,source_placement.axis,1005,1009,51,2,46,35
assembly_cycle,0,source_placement.reference_direction,1005,1010,52,3,46,41
assembly_cycle,0,target_placement.location,1006,1008,53,1,47,29
assembly_cycle,0,target_placement.axis,1006,1011,54,2,47,35
assembly_cycle,0,target_placement.reference_direction,1006,1012,55,3,47,41
assembly_cycle,1,assembly_occurrence.parent_definition,1100,202,56,3,54,84
assembly_cycle,1,assembly_occurrence.child_definition,1100,102,57,4,54,89
assembly_cycle,1,occurrence_shape.definition,1101,1100,58,2,55,38
assembly_cycle,1,context_dependent_shape_representation.represented_product_relation,1102,1101,60,1,56,52
assembly_cycle,1,context_dependent_shape_representation.representation_relation,1102,1103,59,0,56,46
assembly_cycle,1,representation_relationship.child_representation,1103,105,61,2,57,42
assembly_cycle,1,representation_relationship.parent_representation,1103,205,62,3,57,47
assembly_cycle,1,representation_relationship.transformation_operator,1103,1104,63,0,57,100
assembly_cycle,1,item_defined_transformation.transform_item_1,1104,1105,64,2,58,41
assembly_cycle,1,item_defined_transformation.transform_item_2,1104,1106,65,3,58,47
assembly_cycle,1,child_representation.items,105,1105,12,1.3,16,60
assembly_cycle,1,parent_representation.items,205,1106,31,1.3,31,61
assembly_cycle,1,product_definition_shape.definition,103,102,6,2,14,37
assembly_cycle,1,shape_definition_representation.definition,104,103,7,0,15,38
assembly_cycle,1,shape_definition_representation.used_representation,104,105,8,1,15,43
assembly_cycle,1,product_definition_shape.definition,203,202,25,2,29,37
assembly_cycle,1,shape_definition_representation.definition,204,203,26,0,30,38
assembly_cycle,1,shape_definition_representation.used_representation,204,205,27,1,30,43
assembly_cycle,1,child_representation.context_of_items,105,111,13,2,16,67
assembly_cycle,1,child_representation.length_unit,111,112,18,0.0,22,72
assembly_cycle,1,parent_representation.context_of_items,205,211,32,2,31,68
assembly_cycle,1,parent_representation.length_unit,211,212,37,0.0,37,72
assembly_cycle,1,source_placement.location,1105,1107,66,1,59,29
assembly_cycle,1,source_placement.axis,1105,1109,67,2,59,35
assembly_cycle,1,source_placement.reference_direction,1105,1110,68,3,59,41
assembly_cycle,1,target_placement.location,1106,1108,69,1,60,29
assembly_cycle,1,target_placement.axis,1106,1111,70,2,60,35
assembly_cycle,1,target_placement.reference_direction,1106,1112,71,3,60,41
